"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C51,C13,C33,C43,C34,C27,C32,C44,C35,C45,C56,C57,C46,C39,C47,C48,C49,C50,C1,C3,C5,C7,C10,C16,C2,C4,C6,C8,C9,C11,C12,C15,C17,C18,C19,C20,C21,C26,C42,C58,C62,C64,C68,C70,C74,C76,C80,C83,C85,C87,C88,C89,C38,C40";"C_0402";54;"0.1uF";;;
2;"P17";"CONN_MOTOR2";1;"GAMMA";;;
3;"U9,U10,U11,U12";"LQFP-44_10x10mm_Pitch0.8mm";4;"TMC2660";;;
4;"C24,C31,C60,C61,C66,C67,C72,C73,C78,C79,C55";"C_1206";11;"10uF";;;
5;"C36,C41,C37";"C_0603";3;"1uF";;;
6;"C29,C30,C90,C91";"C_0402";4;"18pF";;;
7;"C14";"C_0402";1;"0.01uF";;;
8;"C59,C65,C71,C77";"C_0402";4;"0.47uF";;;
9;"C63,C69,C75,C81";"C_0402";4;"0.22uF";;;
10;"C82,C84";"C_1206";2;"22uF";;;
11;"C86";"C_0805";1;"2.2uF";;;
12;"D2,D1";"SOD-123";2;"MMSZ4701";;;
13;"D24,D29,D25,D30,D13,D14,D54,D55";"LED_0603";8;"RED";;;
14;"D26,D31,D27,D5,D32,D4,D28,D33,D3,D56";"SMA_Standard";10;"SK310A";;;
15;"D15";"LED_0603";1;"ORANGE";;;
16;"D16,D19";"LED_0603";2;"GREEN";;;
17;"D17,D18";"LED_0603";2;"BLUE";;;
18;"JP2";"SJ2-NC";1;"TH1_PU_NC";;;
19;"JP8";"SJ3-12";1;"ES_VIO_12";;;
20;"JP9,JP12";"SJ2-NC";2;"XSTOP_PU_NC";;;
21;"JP3,JP4";"SJ2-NC";2;"TH2_PU_NC";;;
22;"JP10,JP13";"SJ2-NC";2;"YSTOP_PU_NC";;;
23;"JP11,JP14";"SJ2-NC";2;"ZSTOP_PU_NC";;;
24;"JP15,JP7";"SJ2-NC";2;"PROBE_PU_NC";;;
25;"JP6";"SJ3-12";1;"BOOT0-12";;;
26;"JP5,JP16,JP17";"SJ3-23";3;"BOOT2-23";;;
27;"JP1";"SJ3-23";1;"I2C0_VIO_23";;;
28;"L6,L7,L8,L1,L9,L2,L3,L4";"R_0603";8;"10R FB";;;
29;"L10";"R_0603";1;"10R FB DNP";;;
30;"L5";"Inductor_12.5x12.5mm_SRR1280";1;"CDRH127/LDNP-470MC";;;
31;"L11";"R_0603";1;"FB";;;
32;"P19";"kk100_22-23-2021";1;"T1";;;
33;"P4";"Pin_Header_Straight_1x02";1;"VBB_IN";;;
34;"P9";"Pin_Header_Straight_1x02";1;"VBB";;;
35;"P25";"kk100_22-23-2031";1;"XMIN";;;
36;"P13";"Pin_Header_Straight_1x02";1;"3.3V";;;
37;"P20";"kk100_22-23-2021";1;"T2";;;
38;"P26";"kk100_22-23-2031";1;"YMIN";;;
39;"P10";"Pin_Header_Straight_1x02";1;"5V";;;
40;"P21";"kk100_22-23-2021";1;"T3";;;
41;"P27";"kk100_22-23-2031";1;"ZMIN";;;
42;"P41";"kk100_22-23-2021";1;"FAN";;;
43;"P28";"kk100_22-23-2031";1;"XMAX";;;
44;"P14";"USB_B";1;"USB_B";;;
45;"P29";"kk100_22-23-2031";1;"YMAX";;;
46;"P30";"kk100_22-23-2031";1;"ZMAX";;;
47;"P15";"USB_A_Vertical";1;"USB_A";;;
48;"P12";"Pin_Header_Straight_2x05_Pitch1.27mm_Shrouded";1;"JTAG";;;
49;"G1";"Pin_Header_Straight_2x05_Pitch1.27mm_Shrouded";1;"G1[SY]";;;
50;"P5";"Pin_Header_Straight_1x02";1;"3.3VA";;;
51;"G2";"Pin_Header_Straight_2x05_Pitch1.27mm_Shrouded";1;"G2[CIY]";;;
52;"P6";"CONN_MOTOR";1;"ALPHA";;;
